PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY,BRAND,UNIT_PRICE,COST_PRICE,STOCK_QTY,IS_ACTIVE,LAUNCH_DATE
101,HarperCollins Technology Plus 86,Books,Technology,HarperCollins,2559.39,1032.84,943,TRUE,2023-03-12
102,Levi Footwear Classic 141,Fashion,Footwear,Levi,17972.94,9141.4,1001,TRUE,2022-05-23
103,H&M Accessories Air 253,Fashion,Accessories,H&M,23835.02,10359.05,757,FALSE,2024-10-30
104,SG Sportswear Elite 772,Sports & Fitness,Sportswear,SG,26347.75,13838.06,691,TRUE,2021-03-15
105,Nivia Gym Equipment Max 481,Sports & Fitness,Gym Equipment,Nivia,3049.14,1420.73,1095,TRUE,2022-04-26
106,Adidas Watches Plus 295,Fashion,Watches,Adidas,3475.48,1761.52,48,TRUE,2021-08-03
107,Hachette Fiction Ultra 607,Books,Fiction,Hachette,1334.08,502.87,1034,TRUE,2022-07-02
108,Havells Decor Classic 312,Home & Kitchen,Decor,Havells,35530.06,18041.07,235,TRUE,2024-12-25
109,O Reilly Technology Lite 777,Books,Technology,O Reilly,511.22,161.54,667,TRUE,2022-09-29
110,Penguin Business Classic 60,Books,Business,Penguin,770.13,202.56,135,TRUE,2024-04-13
111,Colgate Oral Care Pro 559,Health & Personal Care,Oral Care,Colgate,3552.36,1434.97,1419,TRUE,2023-02-26
112,Wiley History Prime 503,Books,History,Wiley,2398.23,740.17,1811,TRUE,2021-04-12
113,Prestige Appliances Classic 763,Home & Kitchen,Appliances,Prestige,12145.46,6805.46,1711,TRUE,2024-05-09
114,LOreal Haircare Lite 27,Health & Personal Care,Haircare,LOreal,2176.69,1075.58,1693,TRUE,2023-06-05
115,Biotique Fragrances Elite 860,Health & Personal Care,Fragrances,Biotique,1973.35,800.1,321,TRUE,2024-05-02
116,Boat Speakers Pro 888,Electronics,Speakers,Boat,59840.6,40175.59,438,TRUE,2022-06-21
117,Biotique Oral Care Ultra 319,Health & Personal Care,Oral Care,Biotique,4249.64,1310.45,1506,TRUE,2023-11-01
118,MuscleBlaze Supplements Air 481,Sports & Fitness,Supplements,MuscleBlaze,27079.82,14890.36,1560,TRUE,2021-01-15
119,Himalaya Skincare Plus 688,Health & Personal Care,Skincare,Himalaya,4593.78,1694.37,1274,TRUE,2021-11-17
120,Dove Fragrances Neo 754,Health & Personal Care,Fragrances,Dove,3452.15,1829.22,994,TRUE,2024-02-03
121,Levi Footwear Lite 681,Fashion,Footwear,Levi,762.75,327.58,576,TRUE,2023-12-09
122,Crompton Appliances Ultra 487,Home & Kitchen,Appliances,Crompton,25585.61,12834.82,1466,TRUE,2023-06-28
123,Pearson Science Classic 875,Books,Science,Pearson,1575.63,615.93,1006,TRUE,2024-12-05
124,Whirlpool Furniture Neo 88,Home & Kitchen,Furniture,Whirlpool,5217.09,2998.57,177,TRUE,2023-05-17
125,Philips Furniture Air 56,Home & Kitchen,Furniture,Philips,46571.69,24113.95,1859,TRUE,2024-06-26
126,H&M Watches Lite 22,Fashion,Watches,H&M,13702.81,6575.42,1752,TRUE,2024-02-16
127,Peter England Clothing Prime 986,Fashion,Clothing,Peter England,10243.27,4650.9,871,TRUE,2023-09-14
128,Cosco Cricket Ultra 150,Sports & Fitness,Cricket,Cosco,727.68,324.4,1929,TRUE,2024-07-17
129,Pigeon Appliances Pro 900,Home & Kitchen,Appliances,Pigeon,16046.93,6867.48,192,TRUE,2024-03-26
130,Peter England Footwear Elite 383,Fashion,Footwear,Peter England,21175.54,11640.0,456,TRUE,2020-12-30
131,SG Supplements Neo 448,Sports & Fitness,Supplements,SG,1779.78,965.35,1291,TRUE,2022-05-05
132,Himalaya Skincare Prime 277,Health & Personal Care,Skincare,Himalaya,3953.92,2117.21,1392,TRUE,2024-03-26
133,Biotique Fragrances Pro 309,Health & Personal Care,Fragrances,Biotique,3886.36,1366.06,1959,TRUE,2022-06-28
134,O Reilly Fiction Air 460,Books,Fiction,O Reilly,1320.85,429.74,232,TRUE,2024-10-21
135,Zara Accessories Classic 414,Fashion,Accessories,Zara,18889.9,10363.02,1477,TRUE,2024-10-08
136,Realme Smartwatches Plus 957,Electronics,Smartwatches,Realme,166619.9,108706.48,391,TRUE,2021-09-14
137,SG Badminton Plus 953,Sports & Fitness,Badminton,SG,2177.39,1249.88,1868,FALSE,2022-11-30
138,Instant Pot Storage Ultra 49,Home & Kitchen,Storage,Instant Pot,48627.13,19738.11,359,TRUE,2023-10-19
139,Wiley Fiction Elite 734,Books,Fiction,Wiley,865.86,369.63,1634,TRUE,2021-05-23
140,Levi Footwear Ultra 837,Fashion,Footwear,Levi,16020.35,6604.62,598,TRUE,2022-06-19
141,OnePlus Monitors Max 866,Electronics,Monitors,OnePlus,19638.46,12687.72,1807,TRUE,2024-10-14
142,Dove Wellness Air 182,Health & Personal Care,Wellness,Dove,581.97,293.26,1013,TRUE,2021-07-01
143,Nike Sportswear Classic 915,Sports & Fitness,Sportswear,Nike,2788.55,1383.2,690,TRUE,2024-02-08
144,Rupa History Plus 83,Books,History,Rupa,790.0,240.77,123,TRUE,2024-01-28
145,Havells Storage Lite 638,Home & Kitchen,Storage,Havells,45046.53,24316.98,1994,TRUE,2020-07-07
146,Puma Yoga Max 493,Sports & Fitness,Yoga,Puma,2937.89,1381.34,105,TRUE,2021-10-10
147,Dettol Fragrances Prime 447,Health & Personal Care,Fragrances,Dettol,897.42,442.01,1735,TRUE,2022-11-13
148,Bajaj Furniture Lite 693,Home & Kitchen,Furniture,Bajaj,44247.53,21797.29,364,FALSE,2023-04-24
149,Nike Sportswear Neo 389,Sports & Fitness,Sportswear,Nike,21694.84,10753.16,1363,TRUE,2022-09-29
150,Himalaya Skincare Max 176,Health & Personal Care,Skincare,Himalaya,3268.4,1452.33,868,TRUE,2024-02-17
151,Godrej Decor Max 454,Home & Kitchen,Decor,Godrej,25436.37,14487.07,1943,TRUE,2023-12-03
152,LG Tablets Prime 509,Electronics,Tablets,LG,125676.71,88092.2,860,TRUE,2021-08-10
153,Pearson Business Air 90,Books,Business,Pearson,2026.26,853.2,849,TRUE,2024-02-09
154,Crompton Storage Neo 714,Home & Kitchen,Storage,Crompton,13804.84,7483.1,1431,TRUE,2021-03-05
155,Dove Fragrances Max 388,Health & Personal Care,Fragrances,Dove,2808.8,1496.72,1026,TRUE,2023-08-20
156,Biotique Haircare Classic 382,Health & Personal Care,Haircare,Biotique,4853.5,2351.39,1005,TRUE,2024-05-28
157,Bajaj Decor Elite 909,Home & Kitchen,Decor,Bajaj,16416.91,6580.74,293,TRUE,2022-05-07
158,Instant Pot Cookware Prime 115,Home & Kitchen,Cookware,Instant Pot,11357.46,4883.93,708,TRUE,2022-01-29
159,Samsung Cameras Max 168,Electronics,Cameras,Samsung,105968.59,64766.07,488,TRUE,2022-02-03
160,LOreal Skincare Classic 379,Health & Personal Care,Skincare,LOreal,4841.7,2235.49,908,TRUE,2021-08-09
161,Puma Sportswear Elite 182,Sports & Fitness,Sportswear,Puma,4534.71,2410.37,1006,TRUE,2020-01-05
162,Puma Watches Prime 61,Fashion,Watches,Puma,12290.98,4474.57,100,TRUE,2021-10-09
163,Cosco Badminton Elite 280,Sports & Fitness,Badminton,Cosco,3572.64,1757.61,1203,TRUE,2023-05-19
164,Hachette Science Air 251,Books,Science,Hachette,2024.41,812.53,1615,TRUE,2024-03-27
165,MuscleBlaze Sportswear Prime 201,Sports & Fitness,Sportswear,MuscleBlaze,21788.24,11011.7,1677,TRUE,2022-11-15
166,Allen Solly Watches Prime 595,Fashion,Watches,Allen Solly,19877.42,7552.04,1050,TRUE,2022-07-05
167,Allen Solly Watches Prime 105,Fashion,Watches,Allen Solly,22820.65,9716.55,369,TRUE,2021-05-25
168,Bajaj Appliances Air 854,Home & Kitchen,Appliances,Bajaj,35628.47,18638.64,982,TRUE,2022-10-01
169,Puma Accessories Lite 594,Fashion,Accessories,Puma,15288.61,5427.66,1929,TRUE,2023-05-07
170,Wiley Fiction Plus 952,Books,Fiction,Wiley,973.55,359.09,1715,TRUE,2024-01-24
171,Crompton Appliances Elite 475,Home & Kitchen,Appliances,Crompton,7951.32,4324.9,836,TRUE,2022-06-07
172,Adidas Watches Pro 461,Fashion,Watches,Adidas,10401.3,4590.94,909,TRUE,2023-01-07
173,Wiley Self-Help Air 494,Books,Self-Help,Wiley,363.42,163.24,1246,FALSE,2023-08-28
174,Yonex Yoga Elite 514,Sports & Fitness,Yoga,Yonex,28498.64,14672.01,1164,TRUE,2020-03-08
175,Bajaj Cookware Ultra 44,Home & Kitchen,Cookware,Bajaj,33530.74,14470.74,524,TRUE,2020-08-28
176,Sony Tablets Max 287,Electronics,Tablets,Sony,245996.34,169389.25,1020,TRUE,2021-12-18
177,Xiaomi Cameras Air 114,Electronics,Cameras,Xiaomi,153913.33,110011.9,1544,TRUE,2021-03-09
178,Zara Watches Pro 410,Fashion,Watches,Zara,6335.58,2679.1,967,TRUE,2022-08-14
179,McGraw Hill Technology Neo 784,Books,Technology,McGraw Hill,569.16,187.45,1432,TRUE,2020-03-11
180,Dell Monitors Prime 952,Electronics,Monitors,Dell,169547.06,103391.89,464,TRUE,2023-12-29
181,Himalaya Wellness Pro 593,Health & Personal Care,Wellness,Himalaya,3147.01,1407.34,1046,TRUE,2023-11-07
182,Dove Fragrances Ultra 661,Health & Personal Care,Fragrances,Dove,4007.08,2192.8,1413,FALSE,2021-10-31
183,LG Cameras Pro 318,Electronics,Cameras,LG,126301.42,81266.53,457,TRUE,2023-05-28
184,Pearson Business Plus 857,Books,Business,Pearson,967.22,395.56,480,TRUE,2024-09-18
185,Whirlpool Storage Elite 103,Home & Kitchen,Storage,Whirlpool,35875.74,17846.9,1477,TRUE,2023-05-24
186,Biotique Oral Care Max 154,Health & Personal Care,Oral Care,Biotique,886.61,420.62,629,TRUE,2022-02-14
187,Colgate Skincare Plus 243,Health & Personal Care,Skincare,Colgate,4753.99,1438.65,1017,FALSE,2022-07-31
188,Bajaj Appliances Elite 825,Home & Kitchen,Appliances,Bajaj,43693.69,26126.19,963,TRUE,2023-11-20
189,Wiley History Prime 709,Books,History,Wiley,259.3,81.38,516,TRUE,2024-11-18
190,Decathlon Yoga Lite 953,Sports & Fitness,Yoga,Decathlon,13157.61,7607.43,144,TRUE,2024-12-19
191,Lenovo Monitors Pro 56,Electronics,Monitors,Lenovo,7298.06,4907.02,1577,TRUE,2023-11-01
192,Lenovo Smartwatches Prime 906,Electronics,Smartwatches,Lenovo,231905.71,170587.15,448,TRUE,2023-09-17
193,Zara Clothing Ultra 327,Fashion,Clothing,Zara,9219.44,4030.98,374,TRUE,2020-09-17
